2026-06-01 01:10:31 | INFO     | commands.audit | user=............❤️.. cmd=/q invoked=/q args=[] status=SUCCESS ok=True ms=0 msg='Queue is empty.'
2026-06-01 01:10:32 | INFO     | wakie.chat | Chat sent: Queue is empty.
2026-06-01 01:10:51 | INFO     | wakie.detector | New command from ....................: /missu
2026-06-01 01:10:51 | WARNING  | commands.parser | Unknown command '/missu' (invoked as '/missu') from ....................
2026-06-01 01:10:51 | INFO     | bot.runtime | Command: /missu from .................... args=[]
2026-06-01 01:10:51 | INFO     | commands.audit | RECV user=.................... cmd=/missu invoked=/missu args=[] fp=22ee8331
2026-06-01 01:10:51 | WARNING  | commands.audit | user=.................... cmd=/missu invoked=/missu args=[] status=UNKNOWN ok=False ms=0 msg='Unknown command: /missu. Try /help'
2026-06-01 01:10:51 | INFO     | wakie.chat | Chat sent: Unknown command: /missu. Try /help
2026-06-01 01:11:44 | INFO     | player.audio_player | AudioPlayer shut down
2026-06-01 01:11:44 | INFO     | wakie.reader | MessageReader disconnected
2026-06-01 01:11:44 | INFO     | wakie.device_session | Device session closed
2026-06-01 01:11:44 | INFO     | bot.runtime | Bot stopped
2026-06-01 01:11:46 | INFO     | commands.dispatcher | CommandDispatcher ready — 34 handler(s) registered
2026-06-01 01:11:46 | INFO     | bot.runtime | === Wakie Music Bot MVP starting ===
2026-06-01 01:11:46 | INFO     | wakie.device_session | Connecting uiautomator2 → emulator-5554
2026-06-01 01:11:47 | INFO     | wakie.device_session | Device ready: 900x1600 serial=emulator-5554
2026-06-01 01:11:47 | INFO     | wakie.reader | MessageReader using shared device session
2026-06-01 01:11:47 | INFO     | player.audio_player | VLC initialized (device hint: CABLE Input (VB-Audio Virtual Cable))
2026-06-01 01:11:47 | INFO     | bot.runtime | Poll loop started (interval=1.5s)
2026-06-01 01:11:47 | INFO     | bot.runtime | Playback loop started
2026-06-01 01:11:48 | INFO     | wakie.detector | New command from ....................: /sleep
2026-06-01 01:11:48 | INFO     | wakie.detector | New command from ....................: /missu
2026-06-01 01:11:48 | WARNING  | commands.parser | Unknown command '/sleep' (invoked as '/sleep') from ....................
2026-06-01 01:11:48 | INFO     | bot.runtime | Command: /sleep from .................... args=[]
2026-06-01 01:11:48 | INFO     | commands.audit | RECV user=.................... cmd=/sleep invoked=/sleep args=[] fp=c0245693
2026-06-01 01:11:48 | WARNING  | commands.audit | user=.................... cmd=/sleep invoked=/sleep args=[] status=UNKNOWN ok=False ms=0 msg='Unknown command: /sleep. Try /help'
2026-06-01 01:11:48 | WARNING  | adbutils.install | apkutils is not installed, install it with 'pip install adbutils[apk]'
2026-06-01 01:11:48 | INFO     | adbutils.install | Success pushed, time used 0 seconds
2026-06-01 01:11:52 | INFO     | wakie.chat | Message typed
2026-06-01 01:11:56 | INFO     | wakie.chat | Send button clicked (resource_id: com.wakie.android:id/send)
2026-06-01 01:11:56 | INFO     | wakie.chat | Message sent
2026-06-01 01:11:56 | WARNING  | commands.parser | Unknown command '/missu' (invoked as '/missu') from ....................
2026-06-01 01:11:56 | INFO     | bot.runtime | Command: /missu from .................... args=[]
2026-06-01 01:11:56 | INFO     | commands.audit | RECV user=.................... cmd=/missu invoked=/missu args=[] fp=666d3545
2026-06-01 01:11:56 | WARNING  | commands.audit | user=.................... cmd=/missu invoked=/missu args=[] status=UNKNOWN ok=False ms=0 msg='Unknown command: /missu. Try /help'
2026-06-01 01:11:57 | INFO     | wakie.chat | Message typed
2026-06-01 01:12:01 | INFO     | wakie.chat | Send button clicked (resource_id: com.wakie.android:id/send)
2026-06-01 01:12:02 | INFO     | wakie.chat | Message sent
2026-06-01 01:12:19 | INFO     | wakie.detector | New command from ✨️Siya..: /q
2026-06-01 01:12:19 | INFO     | bot.runtime | Command: /q from ✨️Siya.. args=[]
2026-06-01 01:12:19 | INFO     | commands.audit | RECV user=✨️Siya.. cmd=/q invoked=/q args=[] fp=1959f74c
2026-06-01 01:12:19 | INFO     | commands.audit | user=✨️Siya.. cmd=/q invoked=/q args=[] status=SUCCESS ok=True ms=0 msg='Queue is empty.'
2026-06-01 01:12:20 | INFO     | wakie.chat | Message typed
